location,date,new_cases
China,2/16/2021,7
China,2/17/2021,11
China,2/18/2021,10
China,2/19/2021,8
China,2/20/2021,7
China,2/21/2021,11
China,2/22/2021,10
China,2/23/2021,12
China,2/24/2021,7
China,2/25/2021,6
China,2/26/2021,10
China,2/27/2021,6
China,2/28/2021,19
China,3/1/2021,11
China,3/2/2021,10
China,3/3/2021,10
China,3/4/2021,9
China,3/5/2021,10
China,3/6/2021,13
China,3/7/2021,19
China,3/8/2021,8
China,3/9/2021,5
China,3/10/2021,11
China,3/11/2021,9
China,3/12/2021,7
China,3/13/2021,10
China,3/14/2021,5
China,3/15/2021,13
China,3/16/2021,4
China,3/17/2021,6
China,3/18/2021,11
China,3/19/2021,4
China,3/20/2021,12
China,3/21/2021,7
China,3/22/2021,9
China,3/23/2021,10
China,3/24/2021,11
China,3/25/2021,11
China,3/26/2021,12
China,3/27/2021,11
China,3/28/2021,12
China,3/29/2021,8
China,3/30/2021,11
China,3/31/2021,16
China,4/1/2021,9
China,4/2/2021,26
China,4/3/2021,20
China,4/4/2021,33
China,4/5/2021,24
China,4/6/2021,12
China,4/7/2021,24
China,4/8/2021,21
China,4/9/2021,14
China,4/10/2021,10
China,4/11/2021,16
China,4/12/2021,9
China,4/13/2021,12
China,4/14/2021,10
China,4/15/2021,11
China,4/16/2021,15
China,4/17/2021,16
China,4/18/2021,11
China,4/19/2021,10
China,4/20/2021,21
China,4/21/2021,6
China,4/22/2021,19
China,4/23/2021,9
China,4/24/2021,13
China,4/25/2021,11
China,4/26/2021,11
China,4/27/2021,12
China,4/28/2021,20
China,4/29/2021,13
China,4/30/2021,16
China,5/1/2021,15
China,5/2/2021,11
China,5/3/2021,17
China,5/4/2021,7
China,5/5/2021,5
China,5/6/2021,13
China,5/7/2021,7
China,5/8/2021,12
China,5/9/2021,11
China,5/10/2021,14
China,5/11/2021,16
China,5/12/2021,9
China,5/13/2021,7
China,5/14/2021,14
China,5/15/2021,18
China,5/16/2021,25
China,5/17/2021,22
China,5/18/2021,14
China,5/19/2021,12
China,5/20/2021,24
China,5/21/2021,10
China,5/22/2021,19
China,5/23/2021,18
China,5/24/2021,15
China,5/25/2021,13
China,5/26/2021,19
China,5/27/2021,7
China,5/28/2021,16
China,5/29/2021,11
China,5/30/2021,27
China,5/31/2021,23
China,6/1/2021,24
China,6/2/2021,24
China,6/3/2021,24
China,6/4/2021,24
China,6/5/2021,30
China,6/6/2021,19
China,6/7/2021,33
China,6/8/2021,16
China,6/9/2021,21
China,6/10/2021,22
China,6/11/2021,35
China,6/12/2021,34
China,6/13/2021,23
China,6/14/2021,20
China,6/15/2021,21
China,6/16/2021,19
China,6/17/2021,23
China,6/18/2021,30
China,6/19/2021,23
China,6/20/2021,17
China,6/21/2021,25
China,6/22/2021,24
China,6/23/2021,16
China,6/24/2021,24
China,6/25/2021,25
China,6/26/2021,14
China,6/27/2021,22
China,6/28/2021,17
China,6/29/2021,9
China,6/30/2021,12
China,7/1/2021,18
China,7/2/2021,23
China,7/3/2021,14
China,7/4/2021,22
China,7/5/2021,23
China,7/6/2021,57
China,7/7/2021,17
China,7/8/2021,23
China,7/9/2021,26
China,7/10/2021,0
China,7/11/2021,51
China,7/12/2021,29
China,7/13/2021,24
China,7/14/2021,28
China,7/15/2021,36
China,7/16/2021,30
China,7/17/2021,33
China,7/18/2021,31
China,7/19/2021,65
China,7/20/2021,0
China,7/21/2021,72
China,7/22/2021,48
China,7/23/2021,72
China,7/24/2021,-5
China,7/25/2021,76
China,7/26/2021,71
China,7/27/2021,86
China,7/28/2021,49
China,7/29/2021,66
China,7/30/2021,53
China,7/31/2021,77
China,8/1/2021,96
China,8/2/2021,90
China,8/3/2021,96
China,8/4/2021,85
China,8/5/2021,124
China,8/6/2021,107
China,8/7/2021,96
China,8/8/2021,125
China,8/9/2021,143
China,8/10/2021,111
China,8/11/2021,81
China,8/12/2021,99
China,8/13/2021,66
China,8/14/2021,53
China,8/15/2021,51
China,8/16/2021,42
China,8/17/2021,28
China,8/18/2021,46
China,8/19/2021,33
China,8/20/2021,20
China,8/21/2021,32
China,8/22/2021,21
China,8/23/2021,35
China,8/24/2021,20
China,8/25/2021,26
China,8/26/2021,32
China,8/27/2021,21
China,8/28/2021,33
China,8/29/2021,23
China,8/30/2021,37
China,8/31/2021,19
China,9/1/2021,28
China,9/2/2021,28
China,9/3/2021,28
China,9/4/2021,28
China,9/5/2021,18
China,9/6/2021,36
China,9/7/2021,19
China,9/8/2021,28
China,9/9/2021,17
China,9/10/2021,25
China,9/11/2021,46
China,9/12/2021,49
China,9/13/2021,92
China,9/14/2021,73
China,9/15/2021,80
China,9/16/2021,84
China,9/17/2021,46
China,9/18/2021,66
China,9/19/2021,49
China,9/20/2021,72
China,9/21/2021,41
China,9/22/2021,43
China,9/23/2021,54
China,9/24/2021,38
China,9/25/2021,29
China,9/26/2021,35
China,9/27/2021,31
China,9/28/2021,25
China,9/29/2021,22
China,9/30/2021,34
China,10/1/2021,41
China,10/2/2021,28
China,10/3/2021,27
China,10/4/2021,26
China,10/5/2021,26
China,10/6/2021,25
China,10/7/2021,22
China,10/8/2021,17
China,10/9/2021,24
China,10/10/2021,25
China,10/11/2021,12
China,10/12/2021,22
China,10/13/2021,26
China,10/14/2021,5
China,10/15/2021,14
China,10/16/2021,21
China,10/17/2021,27
China,10/18/2021,21
China,10/19/2021,30
China,10/20/2021,21
China,10/21/2021,48
China,10/22/2021,45
China,10/23/2021,44
China,10/24/2021,38
China,10/25/2021,63
China,10/26/2021,39
China,10/27/2021,39
China,10/28/2021,64
China,10/29/2021,78
China,10/30/2021,72
China,10/31/2021,91
China,11/1/2021,71
China,11/2/2021,110
China,11/3/2021,103
China,11/4/2021,78
China,11/5/2021,60
China,11/6/2021,69
China,11/7/2021,89
China,11/8/2021,62
China,11/9/2021,54
China,11/10/2021,64
China,11/11/2021,96
China,11/12/2021,75
China,11/13/2021,89
China,11/14/2021,52
China,11/15/2021,22
China,11/16/2021,31
China,11/17/2021,35
China,11/18/2021,24
China,11/19/2021,23
China,11/20/2021,17
China,11/21/2021,38
China,11/22/2021,19
China,11/23/2021,22
China,11/24/2021,24
China,11/25/2021,13
China,11/26/2021,25
China,11/27/2021,23
China,11/28/2021,41
China,11/29/2021,39
China,11/30/2021,113
China,12/1/2021,73
China,12/2/2021,96
China,12/3/2021,90
China,12/4/2021,59
China,12/5/2021,61
China,12/6/2021,94
China,12/7/2021,74
China,12/8/2021,83
China,12/9/2021,63
China,12/10/2021,87
China,12/11/2021,75
China,12/12/2021,101
China,12/13/2021,76
China,12/14/2021,69
China,12/15/2021,75
China,12/16/2021,76
China,12/17/2021,125
China,12/18/2021,83
China,12/19/2021,102
China,12/20/2021,81
China,12/21/2021,78
China,12/22/2021,99
China,12/23/2021,87
China,12/24/2021,140
China,12/25/2021,46
China,12/26/2021,208
China,12/27/2021,361
China,12/28/2021,197
China,12/29/2021,207
China,12/30/2021,195
China,12/31/2021,229
China,1/1/2022,191
China,1/2/2022,161
China,1/3/2022,175
China,1/4/2022,91
China,1/5/2022,189
China,1/6/2022,174
China,1/7/2022,159
China,1/8/2022,165
China,1/9/2022,157
China,1/10/2022,192
China,1/11/2022,221
China,1/12/2022,190
China,1/13/2022,201
China,1/14/2022,165
China,1/15/2022,119
China,1/16/2022,223
China,1/17/2022,171
China,1/18/2022,87
China,1/19/2022,66
China,1/20/2022,73
Russia,1/31/2020,2
Russia,2/1/2020,0
Russia,2/2/2020,0
Russia,2/3/2020,0
Russia,2/4/2020,0
Russia,2/5/2020,0
Russia,2/6/2020,0
Russia,2/7/2020,0
Russia,2/8/2020,0
Russia,2/9/2020,0
Russia,2/10/2020,0
Russia,2/11/2020,0
Russia,2/12/2020,0
Russia,2/13/2020,0
Russia,2/14/2020,0
Russia,2/15/2020,0
Russia,2/16/2020,0
Russia,2/17/2020,0
Russia,2/18/2020,0
Russia,2/19/2020,0
Russia,2/20/2020,0
Russia,2/21/2020,0
Russia,2/22/2020,0
Russia,2/23/2020,0
Russia,2/24/2020,0
Russia,2/25/2020,0
Russia,2/26/2020,0
Russia,2/27/2020,0
Russia,2/28/2020,0
Russia,2/29/2020,0
Russia,3/1/2020,0
Russia,3/2/2020,1
Russia,3/3/2020,0
Russia,3/4/2020,0
Russia,3/5/2020,1
Russia,3/6/2020,9
Russia,3/7/2020,0
Russia,3/8/2020,4
Russia,3/9/2020,0
Russia,3/10/2020,3
Russia,3/11/2020,0
Russia,3/12/2020,8
Russia,3/13/2020,17
Russia,3/14/2020,14
Russia,3/15/2020,4
Russia,3/16/2020,27
Russia,3/17/2020,24
Russia,3/18/2020,33
Russia,3/19/2020,52
Russia,3/20/2020,54
Russia,3/21/2020,53
Russia,3/22/2020,61
Russia,3/23/2020,71
Russia,3/24/2020,57
Russia,3/25/2020,163
Russia,3/26/2020,182
Russia,3/27/2020,196
Russia,3/28/2020,228
Russia,3/29/2020,270
Russia,3/30/2020,302
Russia,3/31/2020,501
Russia,4/1/2020,440
Russia,4/2/2020,771
Russia,4/3/2020,601
Russia,4/4/2020,582
Russia,4/5/2020,658
Russia,4/6/2020,954
Russia,4/7/2020,1154
Russia,4/8/2020,1175
Russia,4/9/2020,1459
Russia,4/10/2020,1786
Russia,4/11/2020,1667
Russia,4/12/2020,2186
Russia,4/13/2020,2558
Russia,4/14/2020,2774
Russia,4/15/2020,3388
Russia,4/16/2020,3448
Russia,4/17/2020,4070
Russia,4/18/2020,4785
Russia,4/19/2020,6060
Russia,4/20/2020,4268
Russia,4/21/2020,5642
Russia,4/22/2020,5236
Russia,4/23/2020,4774
Russia,4/24/2020,5849
Russia,4/25/2020,5966
Russia,4/26/2020,6361
Russia,4/27/2020,6198
Russia,4/28/2020,6411
Russia,4/29/2020,5841
Russia,4/30/2020,7099
Russia,5/1/2020,7933
Russia,5/2/2020,9623
Russia,5/3/2020,10633
Russia,5/4/2020,10581
Russia,5/5/2020,10102
Russia,5/6/2020,10559
Russia,5/7/2020,11231
Russia,5/8/2020,10699
Russia,5/9/2020,10817
Russia,5/10/2020,11012
Russia,5/11/2020,11656
Russia,5/12/2020,10899
Russia,5/13/2020,10028
Russia,5/14/2020,9974
Russia,5/15/2020,10598
Russia,5/16/2020,9200
Russia,5/17/2020,9709
Russia,5/18/2020,8926
Russia,5/19/2020,9263
Russia,5/20/2020,8764
Russia,5/21/2020,8849
Russia,5/22/2020,8894
Russia,5/23/2020,9434
Russia,5/24/2020,8599
Russia,5/25/2020,8946
Russia,5/26/2020,8915
Russia,5/27/2020,8338
Russia,5/28/2020,8371
Russia,5/29/2020,8572
Russia,5/30/2020,8952
Russia,5/31/2020,9268
Russia,6/1/2020,8485
Russia,6/2/2020,8858
Russia,6/3/2020,8529
Russia,6/4/2020,8823
Russia,6/5/2020,8718
Russia,6/6/2020,8846
Russia,6/7/2020,8971
Russia,6/8/2020,8970
Russia,6/9/2020,8587
Russia,6/10/2020,8393
Russia,6/11/2020,8777
Russia,6/12/2020,8961
Russia,6/13/2020,8697
Russia,6/14/2020,8809
Russia,6/15/2020,8217
Russia,6/16/2020,8241
Russia,6/17/2020,7824
Russia,6/18/2020,7772
Russia,6/19/2020,7971
Russia,6/20/2020,7870
Russia,6/21/2020,7717
Russia,6/22/2020,7586
Russia,6/23/2020,7413
Russia,6/24/2020,7165
Russia,6/25/2020,7105
Russia,6/26/2020,6788
Russia,6/27/2020,6843
Russia,6/28/2020,6784
Russia,6/29/2020,6683
Russia,6/30/2020,6683
Russia,7/1/2020,6550
Russia,7/2/2020,6752
Russia,7/3/2020,6710
Russia,7/4/2020,6623
Russia,7/5/2020,6719
Russia,7/6/2020,6569
Russia,7/7/2020,6363
Russia,7/8/2020,6534
Russia,7/9/2020,6491
Russia,7/10/2020,6623
Russia,7/11/2020,6586
Russia,7/12/2020,6587
Russia,7/13/2020,6511
Russia,7/14/2020,6240
Russia,7/15/2020,6410
Russia,7/16/2020,6415
Russia,7/17/2020,6389
Russia,7/18/2020,6214
Russia,7/19/2020,6096
Russia,7/20/2020,5901
Russia,7/21/2020,5828
Russia,7/22/2020,5850
Russia,7/23/2020,5830
Russia,7/24/2020,5779
Russia,7/25/2020,5833
Russia,7/26/2020,5741
Russia,7/27/2020,5607
Russia,7/28/2020,5380
Russia,7/29/2020,5449
Russia,7/30/2020,5484
Russia,7/31/2020,5468
Russia,8/1/2020,5429
Russia,8/2/2020,5387
Russia,8/3/2020,5364
Russia,8/4/2020,5121
Russia,8/5/2020,5186
Russia,8/6/2020,5239
Russia,8/7/2020,5191
Russia,8/8/2020,5185
Russia,8/9/2020,5155
Russia,8/10/2020,5081
Russia,8/11/2020,4892
Russia,8/12/2020,5054
Russia,8/13/2020,5017
Russia,8/14/2020,5016
Russia,8/15/2020,5030
Russia,8/16/2020,4911
Russia,8/17/2020,4839
Russia,8/18/2020,4718
Russia,8/19/2020,4790
Russia,8/20/2020,4767
Russia,8/21/2020,4838
Russia,8/22/2020,4860
Russia,8/23/2020,4797
Russia,8/24/2020,4688
Russia,8/25/2020,4639
Russia,8/26/2020,4642
Russia,8/27/2020,4675
Russia,8/28/2020,4758
Russia,8/29/2020,4843
Russia,8/30/2020,4897
Russia,8/31/2020,4932
Russia,9/1/2020,4670
Russia,9/2/2020,4893
Russia,9/3/2020,4958
Russia,9/4/2020,5064
Russia,9/5/2020,5144
Russia,9/6/2020,5097
Russia,9/7/2020,5106
Russia,9/8/2020,5020
Russia,9/9/2020,5172
Russia,9/10/2020,5310
Russia,9/11/2020,5421
Russia,9/12/2020,5406
Russia,9/13/2020,5361
Russia,9/14/2020,5414
Russia,9/15/2020,5435
Russia,9/16/2020,5612
Russia,9/17/2020,5667
Russia,9/18/2020,5803
Russia,9/19/2020,5960
Russia,9/20/2020,6043
Russia,9/21/2020,6090
Russia,9/22/2020,6109
Russia,9/23/2020,6330
Russia,9/24/2020,6489
Russia,9/25/2020,7112
Russia,9/26/2020,7421
Russia,9/27/2020,7764
Russia,9/28/2020,8026
Russia,9/29/2020,8129
Russia,9/30/2020,8371
Russia,10/1/2020,8835
Russia,10/2/2020,9294
Russia,10/3/2020,9735
Russia,10/4/2020,10376
Russia,10/5/2020,10757
Russia,10/6/2020,11481
Russia,10/7/2020,10981
Russia,10/8/2020,11345
Russia,10/9/2020,11969
Russia,10/10/2020,12673
Russia,10/11/2020,13442
Russia,10/12/2020,13406
Russia,10/13/2020,13690
Russia,10/14/2020,14041
Russia,10/15/2020,13556
Russia,10/16/2020,14937
Russia,10/17/2020,14703
Russia,10/18/2020,14804
Russia,10/19/2020,15843
Russia,10/20/2020,16108
Russia,10/21/2020,15444
Russia,10/22/2020,15704
Russia,10/23/2020,17077
Russia,10/24/2020,16260
Russia,10/25/2020,16392
Russia,10/26/2020,17148
Russia,10/27/2020,16342
Russia,10/28/2020,15886
Russia,10/29/2020,17418
Russia,10/30/2020,17987
Russia,10/31/2020,17834
Russia,11/1/2020,18381
Russia,11/2/2020,18017
Russia,11/3/2020,18431
Russia,11/4/2020,19483
Russia,11/5/2020,19116
Russia,11/6/2020,20368
Russia,11/7/2020,20109
Russia,11/8/2020,20248
Russia,11/9/2020,21577
Russia,11/10/2020,20765
Russia,11/11/2020,19583
Russia,11/12/2020,21333
Russia,11/13/2020,21717
Russia,11/14/2020,22441
Russia,11/15/2020,22313
Russia,11/16/2020,22562
Russia,11/17/2020,22201
Russia,11/18/2020,20717
Russia,11/19/2020,23337
Russia,11/20/2020,24059
Russia,11/21/2020,24538
Russia,11/22/2020,24295
Russia,11/23/2020,24891
Russia,11/24/2020,24087
Russia,11/25/2020,23393
Russia,11/26/2020,25195
Russia,11/27/2020,27267
Russia,11/28/2020,26809
Russia,11/29/2020,26390
Russia,11/30/2020,26046
Russia,12/1/2020,26126
Russia,12/2/2020,25043
Russia,12/3/2020,27829
Russia,12/4/2020,27078
Russia,12/5/2020,28450
Russia,12/6/2020,28701
Russia,12/7/2020,27798
Russia,12/8/2020,25752
Russia,12/9/2020,25838
Russia,12/10/2020,27562
Russia,12/11/2020,28206
Russia,12/12/2020,27729
Russia,12/13/2020,27651
Russia,12/14/2020,26902
Russia,12/15/2020,26265
Russia,12/16/2020,26074
Russia,12/17/2020,27787
Russia,12/18/2020,28116
Russia,12/19/2020,27772
Russia,12/20/2020,28510
Russia,12/21/2020,28917
Russia,12/22/2020,28340
Russia,12/23/2020,26814
Russia,12/24/2020,29499
Russia,12/25/2020,28595
Russia,12/26/2020,28833
Russia,12/27/2020,27849
Russia,12/28/2020,27363
Russia,12/29/2020,26588
Russia,12/30/2020,26095
Russia,12/31/2020,27329
Russia,1/1/2021,26613
Russia,1/2/2021,25938
Russia,1/3/2021,23845
Russia,1/4/2021,23015
Russia,1/5/2021,23955
Russia,1/6/2021,23902
Russia,1/7/2021,23218
Russia,1/8/2021,23330
Russia,1/9/2021,23012
Russia,1/10/2021,22540
Russia,1/11/2021,23018
Russia,1/12/2021,22657
Russia,1/13/2021,22544
Russia,1/14/2021,24303
Russia,1/15/2021,24294
Russia,1/16/2021,23670
Russia,1/17/2021,23178
Russia,1/18/2021,22509
Russia,1/19/2021,21442
Russia,1/20/2021,20806
Russia,1/21/2021,21544
Russia,1/22/2021,21182
Russia,1/23/2021,20585
Russia,1/24/2021,20800
Russia,1/25/2021,18999
Russia,1/26/2021,17982
Russia,1/27/2021,17464
Russia,1/28/2021,18856
Russia,1/29/2021,18966
Russia,1/30/2021,18751
Russia,1/31/2021,18083
Russia,2/1/2021,17391
Russia,2/2/2021,16406
Russia,2/3/2021,16222
Russia,2/4/2021,16463
Russia,2/5/2021,16444
Russia,2/6/2021,16379
Russia,2/7/2021,15808
Russia,2/8/2021,15701
Russia,2/9/2021,14808
Russia,2/10/2021,14258
Russia,2/11/2021,14803
Russia,2/12/2021,14867
Russia,2/13/2021,14640
Russia,2/14/2021,13968
Russia,2/15/2021,13999
Russia,2/16/2021,13030
Russia,2/17/2021,12629
Russia,2/18/2021,13243
Russia,2/19/2021,13242
Russia,2/20/2021,12775
Russia,2/21/2021,12568
Russia,2/22/2021,12455
Russia,2/23/2021,11679
Russia,2/24/2021,11609
Russia,2/25/2021,11067
Russia,2/26/2021,10955
Russia,2/27/2021,11409
Russia,2/28/2021,11234
Russia,3/1/2021,11450
Russia,3/2/2021,10441
Russia,3/3/2021,10416
Russia,3/4/2021,11263
Russia,3/5/2021,10906
Russia,3/6/2021,10909
Russia,3/7/2021,10478
Russia,3/8/2021,10145
Russia,3/9/2021,9342
Russia,3/10/2021,8976
Russia,3/11/2021,9167
Russia,3/12/2021,9695
Russia,3/13/2021,9808
Russia,3/14/2021,9985
Russia,3/15/2021,9347
Russia,3/16/2021,9305
Russia,3/17/2021,8910
Russia,3/18/2021,9713
Russia,3/19/2021,9612
Russia,3/20/2021,9548
Russia,3/21/2021,9215
Russia,3/22/2021,9195
Russia,3/23/2021,8369
Russia,3/24/2021,8769
Russia,3/25/2021,9128
Russia,3/26/2021,9073
Russia,3/27/2021,8783
Russia,3/28/2021,8979
Russia,3/29/2021,8589
Russia,3/30/2021,8162
Russia,3/31/2021,8156
Russia,4/1/2021,9057
Russia,4/2/2021,8682
